province,region,hashtag_query,video_id,title,channel_title,published_at,views,likes,comments,url
Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,#hanoi,9btK2mGu34s,"Điểm nóng: Hà Nội: 'Mưa lựu đạn' trấn áp ổ quỷ, công an đối mặt ‘tử thần trắng’",Báo Pháp luật Việt Nam,2025-12-10T22:00:09Z,148658,1050,34,https://www.youtube.com/watch?v=9btK2mGu34s
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,RTIcrKDSBYM,DÁNG VẺ KHÁC LẠ của cựu bí thư tỉnh ủy Vĩnh Phúc cũ Hoàng Thị Thúy Lan,NEWS TBL ONE,2025-12-16T11:00:52Z,4278,18,1,https://www.youtube.com/watch?v=RTIcrKDSBYM
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,OlNOfYZdxGw,Cựu Bí thư Vĩnh Phúc Hoàng Thị Thúy Lan  khai 'góp công sức đưa kinh tế Vĩnh Phúc đi lên',"Báo và phát thanh, truyền hình Đà Nẵng",2025-12-15T11:21:47Z,17455,64,0,https://www.youtube.com/watch?v=OlNOfYZdxGw
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,yaMH2omoypw,Cựu Bí thư Vĩnh Phúc cũ Hoàng Thị Thúy Lan được đề nghị giảm 24-30 tháng tù,News 24H Việt Nam,2025-12-16T10:30:50Z,42864,38,2,https://www.youtube.com/watch?v=yaMH2omoypw
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,Pny70fBgyKo,"Cựu Bí thư Vĩnh Phúc cũ Hoàng Thị Thuý Lan khóc nghẹn trước tòa, xin được giảm án",Báo Sức khỏe & Đời sống,2025-12-15T11:21:23Z,1983,10,2,https://www.youtube.com/watch?v=Pny70fBgyKo
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,FGSZ4FFBUQ8,"Bất ngờ với DUNG NHAN CỰU BÍ THƯ Vĩnh Phúc Hoàng Thị Thúy Lan tại tòa: Tóc nhuộm đen, trông xinh đẹp",PKT,2025-12-15T11:12:25Z,26829,357,21,https://www.youtube.com/watch?v=FGSZ4FFBUQ8
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,2J546oA7HD4,"Ngày mai cựu Bí thư, cựu Chủ tịch tỉnh Vĩnh Phúc cũ hầu tòa phúc thẩm",TheAnh24h,2025-12-16T03:12:18Z,12325,12,1,https://www.youtube.com/watch?v=2J546oA7HD4
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,iIFuC-AO-W4,Cựu Bí thư Tỉnh ủy Vĩnh Phúc cũ Hoàng Thị Thúy Lan lộ dáng vẻ khác lạ trong phiên xét xử,Báo Sức khỏe & Đời sống,2025-12-15T08:06:06Z,1246,6,0,https://www.youtube.com/watch?v=iIFuC-AO-W4
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,-LTbQYLj1uU,Hình ảnh cựu Bí thư Vĩnh Phúc cũ Hoàng Thị Thúy Lan tại phiên tòa phúc thẩm | Tin nhanh,Báo Pháp Luật TP HCM,2025-12-15T10:30:06Z,826,0,0,https://www.youtube.com/watch?v=-LTbQYLj1uU
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,4sFz1khpzOE,Thái độ lạ của Cựu Bí thư Vĩnh Phúc (cũ) trong phiên tòa phúc thẩm vụ Tập đoàn Phúc Sơn,Thể Thao Văn Hóa,2025-12-15T10:52:49Z,1001,29,1,https://www.youtube.com/watch?v=4sFz1khpzOE
