"Tỉnh, thành phố",Tổng số 2018,Tổng số 2019,Tổng số 2020,Tổng số 2021,Tổng số 2022,Tổng số 2023,Tổng số Sơ bộ 2024,Nam 2018,Nam 2019,Nam 2020,Nam 2021,Nam 2022,Nam 2023,Nam Sơ bộ 2024,Nữ 2018,Nữ 2019,Nữ 2020,Nữ 2021,Nữ 2022,Nữ 2023,Nữ Sơ bộ 2024,Thành thị 2018,Thành thị 2019,Thành thị 2020,Thành thị 2021,Thành thị 2022,Thành thị 2023,Thành thị Sơ bộ 2024,Nông thôn 2018,Nông thôn 2019,Nông thôn 2020,Nông thôn 2021,Nông thôn 2022,Nông thôn 2023,Nông thôn Sơ bộ 2024
Bình Thuận,"1227,3","1232,3","1239,26","1246,31","1252,06","1258,79","1266,22","616,5","619,2","623,1","626,97","631,19","634,59","638,34","610,8","613,1","616,15","619,33","620,87","624,2","627,89","468,8","469,3","472,14","479,85","483,27","485,88","488,76","758,4",763,"767,12","766,46","768,79","772,91",777.46
Tây Nguyên,"5796,4","5861,3","5932,11","6033,82","6092,43","6163,56","6241,03","2923,7","2955,8","2990,54","3041,7","3073,61","3108,38","3147,3","2872,7","2905,5","2941,57","2992,06","3018,82","3055,18","3093,74",1661,"1681,7","1707,32","1745,1","1769,54","1814,57","1845,94","4135,4","4179,6","4224,79","4288,6","4322,84","4349,04",4395.1
Kon Tum,"532,4","543,4","555,64","568,78","579,91","591,27","601,82","267,7","273,1","278,96","285,4","291,43","297,59","303,38","264,6","270,4","276,68","283,38","288,49","293,67","298,43",171,"173,7","181,94","185,28","188,51","191,8","194,83","361,4","369,7","373,71","383,5","391,41","399,46",406.98
Gia Lai,"1495,7","1520,2","1541,83","1569,72","1590,98","1613,9","1634,9","749,6","761,7","773,09",787,"797,84","808,57","818,89","746,1","758,4","768,73","782,66","793,14","805,33",816,"432,6","440,3","447,21","458,94","466,73","475,13","482,84","1063,1","1079,9","1094,62","1110,7","1124,2","1138,76",1152.06
Đắk Lắk,"1861,5","1872,6","1886,94",1909,"1918,44","1931,46","1946,17","938,7","944,2","952,22","963,28","969,54","976,11","983,6","922,8","928,4","934,72","945,72","948,9","955,35","962,56","459,1","463,3","466,48","473,81","478,32","502,4","507,79","1402,4","1409,3","1420,46","1435,19","1440,12","1429,1",1438.38
Đắk Nông,"615,4","625,8","637,91","664,42","670,56","681,95","695,68","317,4","322,5","326,71","340,28","343,07","348,92","355,51",298,"303,3","311,2","324,13","327,49","333,02","340,17","93,7","95,4","97,49","107,98","112,43","115,52","120,03","521,7","530,4","540,42","556,44","558,13","566,43",575.65
Lâm Đồng,"1291,4","1299,3","1309,79","1321,9","1332,53",1345,"1362,47","650,2","654,3","659,56","665,68","671,73","677,19","685,91","641,2",645,"650,23","656,16","660,8","667,81","676,57","504,6",509,"514,21","519,1","523,55","529,72","540,44","786,8","790,3","795,59","802,8","808,98","815,28",822.03
Đông Nam Bộ,"17527,4","17930,3","18342,89",18315,"18810,77","19018,85","19239,4","8657,1","8870,4","9138,24","9118,39","9299,89","9418,58","9544,69","8870,3","9059,8","9204,65","9196,61","9510,88","9600,26","9694,71","11018,9","11617,6","12172,29",12165,"12498,15","12640,19","12865,79","6508,5","6312,7","6170,61",6150,"6312,61","6378,61",6373.61
Bình Phước,"984,9","997,8","1011,08","1024,29","1034,67","1045,49","1062,3","496,9",503,"509,65","516,24","521,76","526,82","534,66","488,1","494,8","501,43","508,1","512,9","518,67","527,64","227,3","238,5","243,05","247,54","303,96","307,37","312,88","757,6","759,2","768,03","776,75","730,71","738,12",749.42
Tây Ninh,"1160,7","1171,7","1178,33","1181,91","1188,76","1194,91","1202,77","579,8","585,5","589,5","591,29","596,18","599,01","602,33","580,9","586,2","588,83","590,62","592,57","595,9","600,44","207,8","208,3","381,11","382,7","386,73","389,17","391,65","952,9","963,4","797,22","799,27","802,03","805,74",811.11
Bình Dương,"2345,2","2456,3","2580,55","2596,79","2763,12","2823,43","2870,61","1175,2","1236,4","1321,72","1308,56","1395,53","1466,46","1491,05",1170,"1219,9","1258,83","1288,22","1367,59","1356,97","1379,56","1875,7","1961,9","2178,17","2189,68","2327,43","2377,78","2464,29","469,5","494,5","402,38","407,11","435,7","445,6",406.32
Đồng Nai,"3055,1","3113,7","3177,4","3169,1","3255,81","3310,86","3365,45","1530,8","1562,2","1613,11","1608,9","1622,21","1649,81","1694,12","1524,3","1551,5","1564,29","1560,21","1633,6","1661,05","1671,32","1006,3","1371,8","1406,73","1418,64","1470,31","1498,5","1526,57","2048,7",1742,"1770,67","1750,46","1785,5","1812,37",1838.88
